Timestamp,Category,Activity,Keystrokes,Gaze,Emotion,Eyes
153639562,Miscellaneous,Google Chrome :: https://community.spotify.com/t5/Music-Chat/How-do-I-check-the-genre-of-a-song/td-p/152105,0,2,6,True
153639563,Miscellaneous,Google Chrome :: https://community.spotify.com/t5/Music-Chat/How-do-I-check-the-genre-of-a-song/td-p/152105,0,0,6,True
153639564,Miscellaneous,Google Chrome :: https://community.spotify.com/t5/Music-Chat/How-do-I-check-the-genre-of-a-song/td-p/152105,0,2,6,False
153639565,Miscellaneous,Google Chrome :: https://community.spotify.com/t5/Music-Chat/How-do-I-check-the-genre-of-a-song/td-p/152105,0,2,6,True
153639566,Miscellaneous,Google Chrome :: https://community.spotify.com/t5/Music-Chat/How-do-I-check-the-genre-of-a-song/td-p/152105,0,2,6,True
153639567,Miscellaneous,Google Chrome :: http://organizeyourmusic.playlistmachinery.com,0,2,6,True
153639568,Miscellaneous,Google Chrome :: http://organizeyourmusic.playlistmachinery.com,0,2,6,True
153639568,Miscellaneous,Google Chrome :: https://community.spotify.com/t5/Music-Chat/How-do-I-check-the-genre-of-a-song/td-p/152105,0,0,6,True
153639569,Miscellaneous,Google Chrome :: https://community.spotify.com/t5/Music-Chat/How-do-I-check-the-genre-of-a-song/td-p/152105,0,0,6,True
153639570,Miscellaneous,Google Chrome :: https://community.spotify.com/t5/Music-Chat/How-do-I-check-the-genre-of-a-song/td-p/152105,0,2,6,True
153639571,Work,Google Chrome :: https://stackoverflow.com/questions/41224070/spotify-javascript-api-getting-the-genre-of-a-song-in-a-playlis,0,2,6,True
153639572,Work,Google Chrome :: https://stackoverflow.com/questions/41224070/spotify-javascript-api-getting-the-genre-of-a-song-in-a-playlis,0,2,6,True
153639573,Work,Google Chrome :: https://stackoverflow.com/questions/41224070/spotify-javascript-api-getting-the-genre-of-a-song-in-a-playlis,0,0,6,True
153639574,Work,Google Chrome :: https://stackoverflow.com/questions/41224070/spotify-javascript-api-getting-the-genre-of-a-song-in-a-playlis,0,2,6,True
153639575,Miscellaneous,Google Chrome :: https://www.google.com.sg/search?q=spotify+get+track+genre&rlz=1C5CHFA_enSG730SG730&oq=get+track+genre&aqs=chrome.1.69i57j0l2j69i64.5987j0j4&sourceid=chrome&ie=UTF-,0,2,6,True
153639576,Miscellaneous,Google Chrome :: https://www.google.com.sg/search?q=spotify+get+track+genre&rlz=1C5CHFA_enSG730SG730&oq=get+track+genre&aqs=chrome.1.69i57j0l2j69i64.5987j0j4&sourceid=chrome&ie=UTF-,0,2,6,False
